,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
386,2013-02-08,2013,Side Effects,Thriller/Suspense,Live Action,Science Fiction,30000000,32172757,34569381,66742138.0,February
387,2013-04-12,2013,Scary Movie V,Comedy,Live Action,Fantasy,20000000,32015787,46598194,78613981.0,April
388,2013-08-21,2013,The Mortal Instruments: City of Bones,Adventure,Live Action,Fantasy,60000000,31165421,44800146,75965567.0,August
389,2013-11-22,2013,Delivery Man,Comedy,Live Action,Contemporary Fiction,22000000,30659817,24956505,55616322.0,November
390,2013-12-25,2013,Grudge Match,Comedy,Live Action,Contemporary Fiction,40000000,29817991,40000000,69817991.0,December
391,2013-08-30,2013,One Direction: This is Us,Concert/Performance,Live Action,Factual,10000000,28873374,39668412,68541786.0,August
392,2013-08-16,2013,Kick-Ass 2,Action,Live Action,Contemporary Fiction,28000000,28795985,34333924,63129909.0,August
393,2013-11-01,2013,Dallas Buyers Club,Drama,Live Action,Dramatization,5000000,27298285,33313560,60611845.0,November
394,2013-09-20,2013,Rush,Drama,Live Action,Dramatization,38000000,26947624,71283215,98230839.0,September
395,2013-03-29,2013,The Host,Thriller/Suspense,Live Action,Science Fiction,50000000,26623701,37853350,64477051.0,March
396,2013-08-23,2013,The World's End,Comedy,Live Action,Science Fiction,20000000,26004851,21119787,47124638.0,August
397,2013-03-01,2013,21 and Over,Comedy,Live Action,Contemporary Fiction,13000000,25682380,16513386,42195766.0,March
398,2013-10-18,2013,Escape Plan,Thriller/Suspense,Live Action,Contemporary Fiction,70000000,25135965,78600000,103735965.0,October
399,2013-09-27,2013,Don Jon,Romantic Comedy,Live Action,Contemporary Fiction,5500000,24477704,16790875,41268579.0,September
400,2014-12-25,2014,American Sniper,Drama,Live Action,Dramatization,58000000,350126372,197200000,547326372.0,December
401,2014-11-21,2014,The Hunger Games: Mockingjay - Part 1,Thriller/Suspense,Live Action,Science Fiction,125000000,337135885,429439246,766575131.0,November
402,2014-08-01,2014,Guardians of the Galaxy,Action,Animation/Live Action,Super Hero,170000000,333172112,437664966,770837078.0,August
403,2014-04-04,2014,Captain America: The Winter Soldier,Action,Live Action,Super Hero,170000000,259746958,454654931,714401889.0,April
404,2014-02-07,2014,The Lego Movie,Adventure,Digital Animation,Kids Fiction,60000000,257784718,210300000,468084718.0,February
405,2014-12-17,2014,The Hobbit: The Battle of the Five Ar…,Adventure,Animation/Live Action,Fantasy,250000000,255119788,688209117,943328905.0,December
406,2014-06-27,2014,Transformers: Age of Extinction,Action,Animation/Live Action,Science Fiction,210000000,245439076,858614996,1104054072.0,June
407,2014-05-30,2014,Maleficent,Adventure,Live Action,Fantasy,180000000,241407328,517129407,758536735.0,May
408,2014-05-23,2014,X-Men: Days of Future Past,Action,Live Action,Super Hero,200000000,233921534,513941241,747862775.0,May
409,2014-11-07,2014,Big Hero 6,Adventure,Digital Animation,Super Hero,165000000,222527828,428177827,650705655.0,November
410,2014-07-11,2014,Dawn of the Planet of the Apes,Adventure,Animation/Live Action,Science Fiction,170000000,208545589,502098977,710644566.0,July
411,2014-05-02,2014,The Amazing Spider-Man 2,Action,Live Action,Super Hero,200000000,202853933,506142403,708996336.0,May
412,2014-05-16,2014,Godzilla,Action,Live Action,Science Fiction,160000000,200676069,328400000,529076069.0,May
