,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
1028,The Muppets,2011,45000000,88625922,72346000,Kids Fiction,Live Action,Adventure
1029,Dredd,2011,45000000,13414714,28052892,Science Fiction,Live Action,Action
1030,Johnny English Reborn,2011,45000000,8406711,156233690,Contemporary Fiction,Live Action,Adventure
1031,Taken 2,2011,45000000,139854287,237953117,Contemporary Fiction,Live Action,Thriller/Suspense
1032,Anchorman 2: The Legend Continues,2011,50000000,127352707,44833047,Historical Fiction,Live Action,Comedy
1033,Hansel & Gretel: Witch Hunters,2011,50000000,55703475,159246241,Contemporary Fiction,Live Action,Action
1034,Ted,2011,50000000,218665740,337350887,Contemporary Fiction,Animation/Live Action,Adventure
1035,We Bought a Zoo,2011,50000000,75624550,43104523,Dramatization,Live Action,Drama
1036,The Change-Up,2011,52000000,37243418,38753649,Contemporary Fiction,Live Action,Comedy
1037,Bullet to the Head,2011,55000000,9489829,13108140,Contemporary Fiction,Live Action,Action
1038,The Equalizer,2011,55000000,101530738,91372886,Contemporary Fiction,Live Action,Action
1039,The Watch,2011,55000000,34353000,32777045,Contemporary Fiction,Live Action,Comedy
1040,The Pirates! Band of Misfits,2011,55000000,31051126,105092479,Kids Fiction,Stop-Motion Animation,Adventure
1041,That's My Boy,2011,57500000,36931089,21154146,Contemporary Fiction,Live Action,Comedy
1042,Gangster Squad,2011,60000000,46000903,58100000,Dramatization,Live Action,Drama
1043,Contagion,2011,60000000,75658097,61893497,Science Fiction,Live Action,Thriller/Suspense
1044,ParaNorman,2011,60000000,56003051,52116611,Kids Fiction,Stop-Motion Animation,Adventure
1045,This Means War,2011,65000000,54760791,102213766,Contemporary Fiction,Live Action,Romantic Comedy
1046,Lincoln,2011,65000000,182207973,91138308,Dramatization,Live Action,Drama
1047,Sin City: A Dame to Kill For,2011,65000000,13757804,26893038,Fantasy,Live Action,Action
1048,The Dictator,2011,65000000,59650222,120498675,Contemporary Fiction,Live Action,Comedy
1049,Doctor Seuss' The Lorax,2011,67500000,214030500,136946253,Kids Fiction,Digital Animation,Adventure
1050,Abraham Lincoln: Vampire Hunter,2011,67500000,37519139,99970591,Fantasy,Live Action,Horror
1051,Killer Elite,2011,70000000,25124986,40284060,Contemporary Fiction,Live Action,Action
1052,Rock of Ages,2011,70000000,38518613,22513319,Contemporary Fiction,Live Action,Musical
1053,War Horse,2011,70000000,79883359,76932170,Contemporary Fiction,Live Action,Drama
1054,Underworld: Awakening,2011,70000000,62321039,98058891,Fantasy,Live Action,Action
1055,Immortals,2011,75000000,83504017,128058418,Fantasy,Live Action,Action
1056,Sucker Punch,2011,75000000,36392502,53365887,Fantasy,Live Action,Action
1057,Journey 2: The Mysterious Island,2011,79000000,103860290,214285872,Fantasy,Live Action,Adventure
1058,Jack and Jill,2011,79000000,74158157,76361060,Contemporary Fiction,Live Action,Comedy
1059,The Hunger Games,2011,80000000,408010692,269912687,Science Fiction,Live Action,Thriller/Suspense
1060,Alvin and the Chipmunks: Chipwrecked,2011,80000000,133107389,215981134,Kids Fiction,Animation/Live Action,Adventure
1061,The Hangover Part II,2011,80000000,254464305,332000000,Contemporary Fiction,Live Action,Comedy
1062,Arthur Christmas,2011,85000000,46462469,103254655,Kids Fiction,Digital Animation,Adventure
1063,Safe House,2011,85000000,126181630,82360532,Contemporary Fiction,Live Action,Thriller/Suspense
1064,Tower Heist,2011,85000000,78046570,72376376,Contemporary Fiction,Live Action,Comedy
1065,Mirror Mirror,2011,85000000,64935167,108678315,Fantasy,Live Action,Adventure
1066,Hotel Transylvania,2011,85000000,148313048,230192764,Kids Fiction,Digital Animation,Adventure
1067,Rio,2011,90000000,143619809,343900000,Kids Fiction,Digital Animation,Adventure
1068,The Three Musketeers,2011,90000000,20377913,119500000,Historical Fiction,Live Action,Adventure
1069,The Girl with the Dragon Tattoo,2011,90000000,102515793,136858177,Contemporary Fiction,Live Action,Thriller/Suspense
1070,Rise of the Planet of the Apes,2011,93000000,176760185,294226015,Science Fiction,Animation/Live Action,Adventure
1071,The Campaign,2011,95000000,86907746,18000000,Contemporary Fiction,Live Action,Comedy
1072,The Wolf of Wall Street,2011,100000000,116900694,272969720,Dramatization,Live Action,Black Comedy
1073,Django Unchained,2011,100000000,162805434,287142889,Historical Fiction,Live Action,Western
1074,Jin líng shí san chai,2011,100000000,311434,97915583,Historical Fiction,Live Action,Drama
1075,Cloud Atlas,2011,102000000,27108272,103564882,Multiple Creative Types,Live Action,Drama
1076,The Smurfs,2011,110000000,142614158,421135165,Kids Fiction,Animation/Live Action,Adventure
1077,Life of Pi,2011,120000000,124987022,482271612,Fantasy,Live Action,Drama
1078,Sherlock Holmes: A Game of Shadows,2011,125000000,186848418,348815025,Historical Fiction,Live Action,Action
1079,Fast Five,2011,125000000,210031325,420132129,Contemporary Fiction,Live Action,Action
1080,Harry Potter and the Deathly Hallows: Part II,2011,125000000,381193157,960500000,Fantasy,Animation/Live Action,Adventure
1081,Prometheus,2011,125000000,126477084,275971181,Science Fiction,Live Action,Adventure
1082,The Bourne Legacy,2011,125000000,113203870,167152050,Contemporary Fiction,Live Action,Thriller/Suspense
